Rank,Title,Type,Episodes,Air Dates,Members,Score
1,Sousou no Frieren,TV,28,Sep 2023 - Mar 2024,1459120,9.26
2,Steel Ball Run: JoJo no Kimyou na Bouken,ONA,?,Mar 2026 -,213097,9.13
3,Fullmetal Alchemist: Brotherhood,TV,64,Apr 2009 - Jul 2010,3697932,9.11
4,Chainsaw Man Movie: Reze-hen,Movie,1,Sep 2025 - Sep 2025,497347,9.07
5,Steins;Gate,TV,24,Apr 2011 - Sep 2011,2824250,9.07
6,Gintama: The Final,Movie,1,Jan 2021 - Jan 2021,185372,9.05
7,Gintama°,TV,51,Apr 2015 - Mar 2016,694150,9.05
8,Shingeki no Kyojin Season 3 Part 2,TV,10,Apr 2019 - Jul 2019,2605913,9.05
9,Re:Zero kara Hajimeru Isekai Seikatsu 4th Season,TV,19,Apr 2026 -,251330,9.04
10,Hunter x Hunter (2011),TV,148,Oct 2011 - Sep 2014,3203175,9.03
11,Ginga Eiyuu Densetsu,OVA,110,Jan 1988 - Mar 1997,365098,9.02
12,Gintama',TV,51,Apr 2011 - Mar 2012,616762,9.02
13,Gintama': Enchousen,TV,13,Oct 2012 - Mar 2013,359496,9.02
14,One Piece Fan Letter,TV Special,1,Oct 2024 - Oct 2024,158381,9.01
15,Bleach: Sennen Kessen-hen,TV,13,Oct 2022 - Dec 2022,712456,8.98
16,Gintama.,TV,12,Jan 2017 - Mar 2017,350202,8.98
17,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,13,Apr 2022 - Jun 2022,1119290,8.95
18,Clannad: After Story,TV,24,Oct 2008 - Mar 2009,1290367,8.93
19,Fruits Basket: The Final,TV,13,Apr 2021 - Jun 2021,566646,8.93
20,Gintama,TV,201,Apr 2006 - Mar 2010,1159575,8.93
21,Koe no Katachi,Movie,1,Sep 2016 - Sep 2016,2628948,8.93
22,Code Geass: Hangyaku no Lelouch R2,TV,25,Apr 2008 - Sep 2008,1963202,8.92
23,Kusuriya no Hitorigoto 2nd Season,TV,24,Jan 2025 - Jul 2025,516630,8.91
24,3-gatsu no Lion 2nd Season,TV,22,Oct 2017 - Mar 2018,440302,8.9
25,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,Jul 2013 - Jul 2013,263301,8.89
26,Monster,TV,74,Apr 2004 - Sep 2005,1338313,8.89
27,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,TV,14,Jul 2018 - Oct 2018,227298,8.88
28,Sousou no Frieren 2nd Season,TV,10,Jan 2026 - Mar 2026,558808,8.87
29,Owarimonogatari 2nd Season,TV Special,7,Aug 2017 - Aug 2017,438906,8.86
30,Shingeki no Kyojin: The Final Season - Kanketsu-hen,TV Special,2,Mar 2023 - Nov 2023,874922,8.86
31,Kingdom 3rd Season,TV,26,Apr 2020 - Oct 2021,135308,8.85
32,Kusuriya no Hitorigoto,TV,24,Oct 2023 - Mar 2024,856406,8.85
33,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,Movie,1,Nov 2024 - Nov 2024,92173,8.83
34,Violet Evergarden Movie,Movie,1,Sep 2020 - Sep 2020,733676,8.83
35,Kimi no Na wa.,Movie,1,Aug 2016 - Aug 2016,3039079,8.82
36,Vinland Saga Season 2,TV,24,Jan 2023 - Jun 2023,866016,8.82
37,Gintama. Shirogane no Tamashii-hen,TV,12,Jan 2018 - Mar 2018,238994,8.81
38,Ashita no Joe 2,TV,47,Oct 1980 - Aug 1981,68698,8.8
39,Shingeki no Kyojin: The Final Season,TV,16,Dec 2020 - Mar 2021,2302168,8.79
40,Hajime no Ippo,TV,75,Oct 2000 - Mar 2002,698974,8.78
41,Kizumonogatari III: Reiketsu-hen,Movie,1,Jan 2017 - Jan 2017,515441,8.78
42,Mob Psycho 100 II,TV,13,Jan 2019 - Apr 2019,1735181,8.78
43,Vinland Saga,TV,24,Jul 2019 - Dec 2019,1835214,8.78
44,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,Oct 2016 - Dec 2016,1332934,8.77
45,Sen to Chihiro no Kamikakushi,Movie,1,Jul 2001 - Jul 2001,2035660,8.77
46,Shingeki no Kyojin: The Final Season Part 2,TV,12,Jan 2022 - Apr 2022,1572061,8.77
47,Monogatari Series: Second Season,TV,26,Jul 2013 - Dec 2013,721536,8.76
48,Cowboy Bebop,TV,26,Apr 1998 - Apr 1999,2064993,8.75
49,Takopii no Genzai,ONA,6,Jun 2025 - Aug 2025,329407,8.75
50,Ikoku Nikki,TV,13,Jan 2026 - Mar 2026,115243,8.74
51,Bocchi the Rock!,TV,12,Oct 2022 - Dec 2022,801622,8.73
52,Hibike! Euphonium 3,TV,13,Apr 2024 - Jun 2024,99202,8.73
53,Kingdom 4th Season,TV,26,Apr 2022 - Oct 2022,91742,8.73
54,One Piece,TV,?,Oct 1999 -,2694194,8.73
55,86 Part 2,TV,12,Oct 2021 - Mar 2022,649254,8.72
56,Chi. Chikyuu no Undou ni Tsuite,TV,25,Oct 2024 - Mar 2025,302472,8.72
57,Kingdom 5th Season,TV,13,Jan 2024 - Mar 2024,63900,8.72
58,Mob Psycho 100 III,TV,12,Oct 2022 - Dec 2022,868789,8.72
59,Mushishi Zoku Shou 2nd Season,TV,10,Oct 2014 - Dec 2014,293989,8.72
60,Boku no Hero Academia: Final Season,TV,11,Oct 2025 - Dec 2025,320322,8.71
61,Code Geass: Hangyaku no Lelouch,TV,25,Oct 2006 - Jul 2007,2483172,8.71
62,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie,1,Dec 2022 - Dec 2022,386160,8.71
63,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,TV,13,Jul 2023 - Sep 2023,419818,8.7
64,Jujutsu Kaisen 2nd Season,TV,23,Jul 2023 - Dec 2023,1415142,8.7
65,Shiguang Dailiren,ONA,11,Apr 2021 - Jul 2021,485376,8.7
66,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,Jan 2017 - Mar 2017,202689,8.7
